T0,T2,T1,lagT1,lagT2,lagEnd,responseT1,responseT2
胜利,失败,九九,10,1,9,j,f
糖精,甜味,五五,10,7,3,j,f
地毯,小毯,三三,10,3,7,j,f
一对,一套,四四,7,1,12,f,f
岩石,石头,七七,10,3,7,j,f
离开,留下,二二,7,1,12,f,f
通道,排列,七七,7,1,12,j,f
打开,关闭,一一,10,3,7,j,f
哨声,火车,八八,10,7,3,f,f
裙子,连衣,九九,10,1,9,j,f
外头,里头,五五,10,7,3,j,f
减价,拍卖,三三,10,3,7,j,f
上方,下方,四四,7,1,12,f,f
现金,支票,七七,10,3,7,j,f
摇尾,尾巴,二二,7,1,12,f,f
牧师,教堂,七七,7,1,12,j,f
滴水,漏水,一一,10,3,7,j,f
雪花,雨点,八八,10,7,3,f,f
文凭,学位,九九,10,1,9,j,f
合唱,唱诗,五五,10,7,3,j,f
切达,乳酪,三三,10,3,7,j,f
墨水,笔头,四四,7,1,12,f,f
拥抱,亲吻,七七,10,3,7,j,f
生长,收缩,二二,7,1,12,f,f
北方,南方,七七,7,1,12,j,f
猴子,类人,一一,10,3,7,j,f
旋律,曲调,八八,10,7,3,f,f
锅具,烤盘,九九,10,1,9,j,f
头部,头发,五五,10,7,3,j,f
油料,气油,三三,10,3,7,j,f
都市,小镇,四四,7,1,12,f,f
一角,五分,七七,10,3,7,j,f
阅读,写作,二二,7,1,12,f,f
派饼,蛋糕,七七,7,1,12,j,f
门扇,窗户,一一,10,3,7,j,f
海报,标志,八八,10,7,3,f,f
正义,法律,九九,10,1,9,j,f
枪械,射击,五五,10,7,3,j,f
冰块,寒冷,三三,10,3,7,j,f
书桌,抽屉,四四,7,1,12,f,f
海洋,大海,七七,10,3,7,j,f
过去,未来,二二,7,1,12,f,f
总是,从不,七七,7,1,12,j,f
车站,货场,一一,10,3,7,j,f
上方,下方,八八,10,7,3,f,f
月亮,星星,九九,10,1,9,j,f
肘部,膝盖,五五,10,7,3,j,f
叉子,勺子,三三,10,3,7,j,f
团队,球员,四四,7,1,12,f,f
投掷,投球,七七,10,3,7,j,f
狐狸,狼类,二二,7,1,12,f,f
牛奶,奶油,七七,7,1,12,j,f
天堂,地狱,一一,10,3,7,j,f
信件,便条,八八,10,7,3,f,f
胆小,英雄,九九,10,1,9,j,f
最好,最差,五五,10,7,3,j,f
鞋子,袜子,三三,10,3,7,j,f
邮件,邮票,四四,7,1,12,f,f
快乐,幸福,七七,10,3,7,j,f
梳子,刷子,二二,7,1,12,f,f
尖叫,大喊,七七,7,1,12,j,f
出现,看见,一一,10,3,7,j,f
咀嚼,吞咽,八八,10,7,3,f,f
她的,他的,九九,10,1,9,j,f
谈话,讲话,五五,10,7,3,j,f
方形,圆形,三三,10,3,7,j,f
草地,绿色,四四,7,1,12,f,f
毯子,床单,七七,10,3,7,j,f
是的,不是,二二,7,1,12,f,f
这里,那里,七七,7,1,12,j,f
修草,草坪,一一,10,3,7,j,f
站立,坐下,八八,10,7,3,f,f
味道,嗅觉,九九,10,1,9,j,f
针线,线头,五五,10,7,3,j,f
数字,字母,三三,10,3,7,j,f
警察,警员,四四,7,1,12,f,f
咒语,诅咒,七七,10,3,7,j,f
寂静,哑巴,二二,7,1,12,f,f
更多,更少,七七,7,1,12,j,f
富裕,贫穷,一一,10,3,7,j,f
开启,关闭,八八,10,7,3,f,f
盲人,聋人,九九,10,1,9,j,f
客栈,酒吧,五五,10,7,3,j,f
桃子,李子,三三,10,3,7,j,f
肌肉,肌体,四四,7,1,12,f,f
公园,板凳,七七,10,3,7,j,f
称重,秤重,二二,7,1,12,f,f
蜘蛛,网络,七七,7,1,12,j,f
害怕,恐惧,一一,10,3,7,j,f
虫子,昆虫,八八,10,7,3,f,f
铲子,铁铲,九九,10,1,9,j,f
小偷,偷窃,五五,10,7,3,j,f
游玩,游戏,三三,10,3,7,j,f
毛巾,抹布,四四,7,1,12,f,f
小牛,母牛,七七,10,3,7,j,f
休息,放松,二二,7,1,12,f,f
欺诈,作弊,七七,7,1,12,j,f
熏肉,鸡蛋,一一,10,3,7,j,f
帮助,协助,八八,10,7,3,f,f
狮子,老虎,九九,10,1,9,j,f
进食,饮水,五五,10,7,3,j,f
能量,动力,三三,10,3,7,j,f
新鲜,陈旧,四四,7,1,12,f,f
皱眉,微笑,七七,10,3,7,j,f
甲虫,蟑螂,二二,7,1,12,f,f
一个,两个,七七,7,1,12,j,f
钥匙,锁头,一一,10,3,7,j,f
一半,整体,八八,10,7,3,f,f
真实,虚假,九九,10,1,9,j,f
鱼类,游泳,五五,10,7,3,j,f
劳动,工作,三三,10,3,7,j,f
疯狂,精神,四四,7,1,12,f,f
很快,不久,七七,10,3,7,j,f
母鹿,鹿类,二二,7,1,12,f,f
编织,缝纫,七七,7,1,12,j,f
花朵,花卉,一一,10,3,7,j,f
正常,一般,八八,10,7,3,f,f
雾气,薄雾,九九,10,1,9,j,f
肺脏,心脏,五五,10,7,3,j,f
战争,和平,三三,10,3,7,j,f
跟随,领导,四四,7,1,12,f,f
刺痛,疼痛,七七,10,3,7,j,f
隐藏,寻找,二二,7,1,12,f,f
通过,不及,七七,7,1,12,j,f
剪刀,剪裁,一一,10,3,7,j,f
围巾,颈部,八八,10,7,3,f,f
跳跃,跳跃,九九,10,1,9,j,f
单跳,跳过,五五,10,7,3,j,f
混合,搅拌,三三,10,3,7,j,f
粗糙,光滑,四四,7,1,12,f,f
雪茄,烟斗,七七,10,3,7,j,f
老鼠,老鼠,二二,7,1,12,f,f
海龟,壳体,七七,7,1,12,j,f
儿子,父亲,一一,10,3,7,j,f
臭鼬,臭味,八八,10,7,3,f,f
拿取,给予,九九,10,1,9,j,f
银行,柜员,五五,10,7,3,j,f
钉子,锤子,三三,10,3,7,j,f
飞行,飞机,四四,7,1,12,f,f
更易,更难,七七,10,3,7,j,f
绵羊,小羊,二二,7,1,12,f,f
简易,简单,七七,7,1,12,j,f
扫除,扫帚,一一,10,3,7,j,f
黑暗,光明,八八,10,7,3,f,f
糖浆,蜂蜜,九九,10,1,9,j,f
马戏,小丑,五五,10,7,3,j,f
希腊,拉丁,三三,10,3,7,j,f
黄昏,破晓,四四,7,1,12,f,f
医生,护士,七七,10,3,7,j,f
狭窄,宽广,二二,7,1,12,f,f
借入,出借,七七,7,1,12,j,f
柔软,坚硬,一一,10,3,7,j,f
耕犁,田地,八八,10,7,3,f,f
火焰,火焰,九九,10,1,9,j,f
加号,减号,五五,10,7,3,j,f
炎热,寒冷,三三,10,3,7,j,f
丝绸,缎子,四四,7,1,12,f,f
死亡,活着,七七,10,3,7,j,f
矮人,侏儒,二二,7,1,12,f,f
住宅,家园,七七,7,1,12,j,f
水管,管道,一一,10,3,7,j,f
昏暗,明亮,八八,10,7,3,f,f
举起,搬运,九九,10,1,9,j,f
杏仁,坚果,五五,10,7,3,j,f
渴望,饥饿,三三,10,3,7,j,f
烘焙,烤箱,四四,7,1,12,f,f
微小,极小,七七,10,3,7,j,f
人群,人潮,二二,7,1,12,f,f
浮动,下沉,七七,7,1,12,j,f
霉变,霉菌,一一,10,3,7,j,f
东方,西方,八八,10,7,3,f,f
礼服,西装,九九,10,1,9,j,f
迅速,缓慢,五五,10,7,3,j,f
姑妈,叔叔,三三,10,3,7,j,f
愚笨,聪明,四四,7,1,12,f,f
一些,没有,七七,10,3,7,j,f
保险,金库,二二,7,1,12,f,f
聚会,狂欢,七七,7,1,12,j,f
听见,聆听,一一,10,3,7,j,f
鹅类,鸭类,八八,10,7,3,f,f
瘦削,肥胖,九九,10,1,9,j,f
记忆,心智,五五,10,7,3,j,f
搜索,猎寻,三三,10,3,7,j,f
